Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4,5,Magnificent and Luxurious 4 Bedrooms Townhouse...,"KSh 520,000/ month"
5 Bed Villa with Staff Quarters at Thome,"Thome, Roysambu",5,6,4bedroom villas +Dsq,"KSh 160,000/ month"
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,5,5,AN EXECUTIVE 5BEDOOM TOWN HOUSE FOR RENT IN KIL...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda Nairobi, Runda, Westlands",4,5,A 4bdrm townhouse to let in runda.,"KSh 350,000/ month"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,4-bedroom bungalow garden cottage to let in Spr...,"KSh 250,000/ month"
4 Bed House with En Suite in Runda,"Runda Nairobi, Runda, Westlands",4,5,A 4bdrm family house to let in runda.,"KSh 500,000/ month"
4 Bed House with En Suite in Runda,"Runda Nairobi, Runda, Westlands",4,5,A 4bdrm family house to let in runda.,"KSh 350,000/ month"
4 Bed Townhouse in Rosslyn,"Rosslyn, Westlands",4,4,Luxury 4 Bedrooms Duplex For Rent In Two Rivers...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite in Karen Hardy,Karen Hardy,4,5,Modern new family home,"KSh 530,000/ month"
5 Bed Villa with En Suite at Westland,"WESTLAND, Rhapta Road, Westlands",5,4,5-Bedroom Villa with SQ & 2 Offices – Raphta Ro...,"KSh 200,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,✨ EXTRAORDINARY 5-BEDROOM LUXURY VILLA IN RUND...,"KSh 750,000/ month"
4 Bed House with En Suite at Karen,"01, karen, Karen",4,4,Executive 4 Bedroom House All Bedroom En-suite...,"KSh 400,000/ month"
5 Bed Villa with En Suite in Lavington,Lavington,5,5,Luxurious 5 Bedroom All Ensuite Villa for Rent...,"KSh 645,000/ month"
5 Bed House with En Suite at Runda,"Runda, Westlands",5,5,🌟 Exclusive Luxury 5-Bedroom Villa for Rent in...,"KSh 1,200,000/ month"
5 Bed House with En Suite in Thigiri,"Thigiri, Westlands",5,5,A nicely done 5 Bedrooms House,"KSh 520,000/ month"
3 Bed Townhouse with En Suite in Kilimani,Kilimani,3,5,3-Bedroom Maisonette plus DSQ to let in Kiliman...,"KSh 120,000/ month"
2 Bed House with Garden in Ridgeways,Ridgeways,2,2,Furnished 2-Bedroom cottage to let in Ridgeways...,"KSh 85,000/ month"
1 Bed House with En Suite in Runda,"Runda, Westlands",1,1,Executive 1 Bedroom furnished Apartment,"KSh 1,200/ month"
3 Bed Villa with En Suite in Kilimani,Kilimani,3,3,"3-BEDROOM MAISONETTE TO LET IN KILIMANI, Kes 16...","KSh 160,000/ month"
5 Bed House with En Suite at Runda,"Runda, Westlands",5,5,Elegantly done 5 Bedrooms House,"KSh 500,000/ month"
5 Bed Villa with En Suite at James Gichuru Rd,"James Gichuru Rd, Lavington",5,6,5 Bedrooms plus 2 DSQs For Rent in Lavington Ks...,"KSh 400,000/ month"
3 Bed House with En Suite in Kitengela,Kitengela,3,2,"3Bedroom, two ensuite bungalow for rent","KSh 50,000/ month"
4 Bed Townhouse with En Suite at Westlands,"0318n, westlands, Westlands Area, Westlands",4,,4-bedroom townhouse in westlands,"KSh 270,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,4,5 bedroom stand alone house,"KSh 350,000/ month"
5 Bed House with En Suite at Parklands,"Parklands, Westlands",5,3,5 bedroom standalone commercial property for re...,"KSh 250,000/ month"
4 Bed Townhouse with En Suite at Convert Drive,"Convert drive, Lavington",4,5,Excellent 4 bedroom townhouse all ensuite with...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite at Karen,"karen, Karen",4,4,Prestigious Four bedroom townhouse,"KSh 350,000/ month"
5 Bed Villa with En Suite in Karen,Karen,5,5,LUXURIOUS FOUR BEDROOM VILAS IN A GATED COMMUNI...,"KSh 500,000/ month"
3 Bed House in Ngong,Ngong,3,4,3bdr ngong,"KSh 40,000/ month"
2 Bed House with En Suite at Karen,"karen, Karen Hardy",2,2,Amazing Two bedroom cottage,"KSh 120,000/ month"
3 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",3,3,Charming 3-Bedroom Home to Let  in Spring Valle...,"KSh 180,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,2,Charming 4-Bedroom Standalone House for Rent –...,"KSh 290,000/ month"
4 Bed Townhouse with En Suite at Two Rivers,"Two Rivers, Runda, Westlands",4,5,Impressive 4 Bdr  All En-suit Duplex Homes For...,"KSh 350,000/ month"
4 Bed House with En Suite at Karen,"karen, Karen",4,3,Lovely Four bedroom townhouse,"KSh 250,000/ month"
5 Bed House with En Suite at Old Kitisuru,"Old Kitisuru, Kitisuru, Westlands",5,5,Experience Ultimate Luxury Living in Kitisuru –...,"KSh 500,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant Four-Bedroom House for Rent in Runda –...,"KSh 350,000/ month"
4 Bed House with En Suite at Karen,"01, karen, Karen",4,4,Exquisite 4-Bedroom Bungalow Home with Office i...,"KSh 350,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Beautiful four-bedroom house for rent in the se...,"KSh 450,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,Newly Renovated 5 Bedroom All Ensuite Townhouse...,"KSh 400,000/ month"
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,Stunning 5 bedroom home on half an Acre for sal...,"KSh 1,000,000/ month"
5 Bed House with En Suite in Lavington,Lavington,5,5,Stunning 5 Bedroom Ensuite House for Rent in La...,"KSh 350,000/ month"
5 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",5,6,5 bedroom Townhouse to Rent in Lavington,"KSh 300,000/ month"
5 Bed Townhouse with En Suite at Muthangari Garden,"66, Muthangari garden, Lavington",5,6,4 Bedroom Townhouse to Rent in Lavington,"KSh 250,000/ month"
6 Bed Townhouse with En Suite at Convent Drive,"25, Convent Drive, Lavington",6,7,"Located in a prime neighborhood, close to schoo...","KSh 330,000/ month"
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington",4,4,Outstanding 4 bedrooms townhouse plus study and...,"KSh 330,000/ month"
5 Bed Townhouse with En Suite at Apple Cross,"66, Apple cross, Lavington",5,6,5  Bedrooms: Ample space for families and guest...,"KSh 350,000/ month"
6 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",6,6,Outstanding 6 bedrooms townhouse plus family rm...,"KSh 340,000/ month"
4 Bed House with En Suite in Lavington,"Lavington Nairobi, Lavington",4,4,A 4bdrm family house to let in lavington.,"KSh 250,000/ month"
2 Bed House with En Suite at Lavington,"51 Lavington, Lavington",2,2,Lavington 2 bedroom cottage to let,"KSh 110,000/ month"
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN RI...,"KSh 300,000/ month"
5 Bed House with En Suite at Rivrside,"7 Riverside, Rivrside, Riverside, Westlands",5,5,Riverside 5 bedroom house to let,"KSh 270,000/ month"
4 Bed Townhouse with En Suite at Lavington,"1, lavington, Lavington",4,5,Elegant 4-Bedroom All-Ensuite Villas for Rent i...,"KSh 300,000/ month"
3 Bed House with Staff Quarters at Kabarak Area,"Kabarak Area, Nakuru",3,4,3 Bed Country Home with City Vibe,"KSh 95,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,🌟 Exquisite 4 Bedroom Family Home in the Heart...,"KSh 580,000/ month"
5 Bed Townhouse with En Suite at Karen,Karen,5,5,4 bedroom plus DSQ,"KSh 350,000/ month"
3 Bed House with En Suite at Karen,Karen,3,3,Rustic Three bedroom cottage,"KSh 350,000/ month"
7 Bed House with En Suite at Kileleshwa,Kileleshwa,7,6,Rustic 7-Bedroom Standalone Home for Rent in Ki...,"KSh 300,000/ month"
2 Bed House with En Suite in Karen,Karen,2,2,🌟 Nascent Properties Presents: Luxurious 2-Bed...,"KSh 170,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,3,4 BEDROOM TOWNHOUSE FOR RENT + SQ,"KSh 160,000/ month"
6 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",6,6,ULTIMATE LUXURY! KITISURU 6 BEDROOM VILLA IN A...,"KSh 500,000/ month"
2 Bed House with En Suite in Karen,Karen,2,2,karen outstanding 2 bed bungalow in a gated com...,"KSh 120,000/ month"
5 Bed House with En Suite at Old Kitisuru,"Old Kitisuru, Kitisuru, Westlands",5,5,Unrivaled 5-Bedroom Villa for Rent in Kitisuru...,"KSh 540,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,🌟 EXPERIENCE THE PINNACLE OF PRESTIGE AND OPUL...,"KSh 400,000/ month"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,🌟 Exquisite 4-Bedroom All-Ensuite House for Re...,"KSh 510,000/ month"
5 Bed House with En Suite at Nyari,"nyari, Nyari, Westlands",5,6,Perfect Place to Call Home! Beautiful Nyari Fiv...,"KSh 650,000/ month"
1 Bed House with Backup Generator in Nyari,"Nyari, Westlands",1,,1 bedroom furnished Houset in Nyari,"KSh 120,000/ month"
3 Bed House with En Suite in Runda,"Runda, Westlands",3,3,Charming Three-Bedroom Cottage in Runda,"KSh 413,000/ month"
4 Bed Villa with En Suite at Riabai Road,"Riabai Road, Kiambu Road",4,5,Nestled In a Gated Community off Kiambu Road 4...,"KSh 250,000/ month"
4 Bed Villa with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",4,5,Kitusuru Within A Quiet And Serene Gated Commun...,"KSh 510,000/ month"
3 Bed House with En Suite at Spring Valley,"spring valley, Spring Valley, Westlands",3,3,"Charming Bungalow In Spring Valley, Westlands","KSh 250,000/ month"
5 Bed Villa with En Suite at Karen Rd,"Karen Rd, Karen",5,6,Luxury Home for Sale & Rent in Exclusive Karen...,"KSh 650,000/ month"
4 Bed Townhouse with Staff Quarters in Kitisuru,"Kitisuru, Westlands",4,5,Old kitisuru a luxurious  4 Bedroom townhouse v...,"KSh 500,000/ month"
4 Bed House with En Suite in Karen,Karen,4,4,Lovely four bedroom to let in Karen.,"KSh 350,000/ month"
4 Bed House with En Suite in Lavington,Lavington,4,4,4 Bedrooms Villa in a gated community to let in...,"KSh 350,000/ month"
3 Bed House with En Suite at Karen,Karen,3,2,3 bedroom plus dsq cottage to let in Karen at k...,"KSh 120,000/ month"
4 Bed Townhouse with En Suite at Karen,Karen,4,4,4 bedroom plus DSQ,"KSh 450,000/ month"
4 Bed Townhouse with En Suite at Karen,Karen,4,4,4 bedroom plus DSQ,"KSh 450,000/ month"
3 Bed Townhouse with Garden in Westlands Area,"Westlands Area, Westlands",3,2,Charming 3-Bed Townhouse with Private Garden Fo...,"KSh 200,000/ month"
2 Bed House with En Suite at Ridgeways,Ridgeways,2,2,"2br Furnished Cottage, Ridgeways","KSh 100,000/ month"
2 Bed House with En Suite in Karen,Karen,2,2,Fully Furnished 2-Bedroom Home for Rent Karen,"KSh 260,000/ month"
4 Bed House with En Suite in Ridgeways,Ridgeways,4,4,Charming & Exquisite Four-Bedroom House for Ren...,"KSh 400,000/ month"
3 Bed House with Staff Quarters at Loresho,"Loresho, Westlands",3,2,"3br Bungalow, Loresho","KSh 170,000/ month"
5 Bed House with En Suite at Mountain View,"Mountain view, Mountain View, Westlands",5,3,Beautiful Five bedroom House,"KSh 130,000/ month"
5 Bed Townhouse with En Suite in Karen,Karen,5,5,5 Bedroom fully furnished to let in karen,"KSh 700,000/ month"
4 Bed House with En Suite at Loresho,"loresho, Loresho, Westlands",4,2,Elegant Four bedroom house,"KSh 250,000/ month"
4 Bed Townhouse with En Suite at Lavington,Lavington,4,4,Elegant Four bedroom Townhouse,"KSh 320,000/ month"
4 Bed House with En Suite at Karen,"01, Karen",4,4,Executive 4 Bedroom House All Bedroom En-suite...,"KSh 400,000/ month"
4 Bed House with En Suite at Karen,"karen, Karen",4,4,Beautiful Four bedroom House,"KSh 350,000/ month"
5 Bed House with En Suite at Loresho,"01, Loresho, Westlands",5,5,Experience Unmatched Luxury: Newly Built 6-Bedr...,"KSh 550,000/ month"
5 Bed House with En Suite in Lavington,Lavington,5,5,Spacious and Elegant Five-Bedroom House for Ren...,"KSh 250,000/ month"
4 Bed Villa with En Suite at Kitisuru,"Kitisuru, Westlands",4,4,4 Bedroom with DSQ to Let at Kitisuru Nairobi,"KSh 340,000/ month"
4 Bed House with En Suite at Tigoni,"Tigoni, Limuru",4,4,"4br House, Tigoni","KSh 220,000/ month"
5 Bed House with Swimming Pool at Ridgeways,"Ridgeways, Garden Estate, Roysambu",5,4,"5br House, Ridgeways","KSh 450,000/ month"
3 Bed House with En Suite at Kiambu Road,"Kiambu road, Kiambu Road",3,4,Excellent fully furnished 3 bedroom townhouse a...,"KSh 250,000/ month"
4 Bed House with En Suite at Links Road,"Links Road, Nyali Area, Nyali",4,5,4 Bedroom Residential Maisonette To Rent in Nya...,"KSh 150,000/ month"
4 Bed Townhouse with Staff Quarters in Runda,"Runda, Westlands",4,5,A 4brm house to let in Runda,"KSh 250,000/ month"
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",4,3,Stunning secure 4 bedrooms townhouse plus dsq a...,"KSh 250,000/ month"
4 Bed House with En Suite in Loresho,"Loresho, Westlands",4,3,Charming 4 Bedroom Cottage To Let in Loresho Cr...,"KSh 250,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,5,A Beautiful 4 Bedroom House To Let in Runda,"KSh 300,000/ month"
5 Bed Townhouse with Staff Quarters in Runda,"Runda, Westlands",5,6,5 bedroom townhouse to let,"KSh 540,000/ month"
5 Bed Townhouse with En Suite in Nyari,"Nyari, Westlands",5,6,5 bedroom  with sq to let,"KSh 500,000/ month"
5 Bed House with En Suite at Mimosa,"Mimosa, Runda, Westlands",5,5,Rent a Piece of Paradise – 5BR Villa with Pool...,"KSh 300,000/ month"
3 Bed Villa with En Suite at Off Lower Kabete Rd,"1, Off Lower kabete Rd, Lower Kabete, Westlands",3,5,Luxurious 3 Bedroom villa for rent on Lower kab...,"KSh 4,000/ month"
5 Bed House with En Suite at New Muthaiga,"New Muthaiga, Thigiri, Westlands",5,5,🌟 The Ultimate in Luxury Living – 5-Bedroom St...,"KSh 500,000/ month"
3 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",3,3,🌟 Your Exclusive 3-Bedroom Guest Wing Awaits i...,"KSh 190,000/ month"
4 Bed House with En Suite at Off Thigiri Ridge,"4, Off Thigiri Ridge, Thigiri, Westlands",4,5,Rustic 4 Bedroom stand alone cottage for rent i...,"KSh 4,000/ month"
4 Bed Townhouse with En Suite at Off Peponi Rd,"4, Off Peponi Rd, Kitisuru, Westlands",4,5,Elegantly designed 4 Bedroom villa for rent in...,"KSh 330,000/ month"
5 Bed House with En Suite at Off Benin Dr,"2, Off Benin Dr, Runda, Westlands",5,6,A Delightful 5 Bedroom double storied house for...,"KSh 250,000/ month"
3 Bed Townhouse with En Suite at Off Glory Rd,"2, Off Glory Rd, Runda, Westlands",3,4,Elegantly designed 3 Bedroom cottage for rent i...,"KSh 200,000/ month"
4 Bed House with En Suite at Off Ruaka Rd,"2, Off Ruaka Rd, Runda, Westlands",4,5,Charming 4 Bedroom double storied house for ren...,"KSh 380,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 bedroom all en-suite to let Lavington,"KSh 520,000/ month"
5 Bed Townhouse with En Suite in Karen,Karen,5,5,5 Bedroom luxury homes to let Karen,"KSh 780,000/ month"
4 Bed Villa with En Suite in Karen,Karen,4,4,4 Bedroom villa to let,"KSh 400,000/ month"
4 Bed Townhouse with En Suite in Karen,Karen,4,4,Newly built 4 bedroom plus dsq family home to l...,"KSh 550,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,🌟 EXCEPTIONAL COTTAGE FOR RENT IN RUNDA – THE...,"KSh 300,000/ month"
4 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",4,4,🌿 EXCEPTIONAL 4-BEDROOM COTTAGE WITH GUEST WIN...,"KSh 570,000/ month"
3 Bed Villa with En Suite in Kilimani,Kilimani,3,4,"3-Bedroom Maisonette plus DSQ to let in Kilima,...","KSh 120,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,5,4 Bedroom Townhouse To Let Off Kiambu Road,"KSh 250,000/ month"
3 Bed Townhouse with Staff Quarters in Kilimani,Kilimani,3,3,🏡 3-Bedroom Maisonette plus DSQ to let in Kili...,"KSh 120,000/ month"
4 Bed Townhouse with En Suite in Kileleshwa,"0314n, Kileleshwa",4,4,4-bedroom townhouse in kileleshwa,"KSh 380,000/ month"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,4,4,"SPACIOUS 4-BEDROOM VILLA WITH POOL,GYM AND CLUB...","KSh 280,000/ month"
4 Bed Villa with En Suite in Runda,"Runda, Westlands",4,4,"LUXURY 4 BEDROOM VILLA WITH POOL ,GYM,AND MODER...","KSh 421,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,SPACIOUS 4-BEDROOM HOME WITH GUEST HOUSE AND MO...,"KSh 350,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,STUNNING 5-BEDROOM AMBASSADORAIL HOUSE IN RUNDA...,"KSh 550,000/ month"
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,STUNNING 4-BEDROOM TOWNHOUSE IN ROSSLYN WITH PR...,"KSh 380,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,EXQUISITE 5 BEDROOM AMBASSADORIAL HOME WITH GAR...,"KSh 585,000/ month"
4 Bed House with En Suite in Parklands,"Parklands, Westlands",4,4,LUXURIOUS 4 -BEDROOM DUPLEX PENTHOUSE FOR RENT...,"KSh 300,000/ month"
1 Bed House with Garden in Runda,"Runda, Westlands",1,2,Fully Furnished 1-Bedroom Apartment – Runda,"KSh 129,500/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,3,Fully Furnished 2-Bedroom All-Ensuite Apartment...,"KSh 233,100/ month"
5 Bed House with En Suite in Lavington,Lavington,5,,Spacious 5-Bedroom Home for Rent in Lavington:,"KSh 350,000/ month"
4 Bed House with En Suite in Karen,Karen,4,,Luxurious 4-Bedroom Standalone House for Rent –...,"KSh 550,000/ month"
5 Bed Villa with En Suite in Lavington,Lavington,5,,Brand New 5-Bedroom Villa for Rent – Lavington,"KSh 400,000/ month"
1 Bed Townhouse with En Suite at Karen Plains,"Karen plains, Karen",1,1,Furnished townhouse to let in Karen,"KSh 100,000/ month"
5 Bed House with En Suite in Lavington,Lavington,5,6,5 bedroom plus Dsq Townhouse for Rent,"KSh 350,000/ month"
4 Bed House with En Suite at Karen,"01, karen, Karen",4,4,Exquisite 4-Bedroom Bungalow Home with Office...,"KSh 350,000/ month"
6 Bed House with En Suite at Loresho,"loresho, Loresho, Westlands",6,6,Experience Unmatched Luxury: Newly Built 6-Bedr...,"KSh 550,000/ month"
4 Bed House with En Suite at Karen,"01, karen, Karen",4,4,Executive 4 Bedroom House All Bedroom En-suite...,"KSh 400,000/ month"
5 Bed Villa with En Suite in Karen,Karen,5,5,Stunning 5-Bedroom Villa On half acre All ensui...,"KSh 550,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,Elegant 5-Bedroom Townhouse for Rent in Lavingt...,"KSh 350,000/ month"
5 Bed House with En Suite at Kibagare,"Kibagare, Loresho, Westlands",5,5,"5br Townhouse, Loresho","KSh 585,000/ month"
4 Bed Townhouse with En Suite at Karen,Karen,4,4,"4br Townhouse, Karen","KSh 450,000/ month"
4 Bed Townhouse with En Suite at Kiambu Road,"Kiambu road, Kiambu Road",4,5,Excellent  unfurnished 4 bedroom townhouse all...,"KSh 325,000/ month"
5 Bed House with En Suite at Runda,"Runda, Westlands",5,5,"5br House, Runda","KSh 550,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,"4br House, Runda","KSh 550,000/ month"
5 Bed House with En Suite at Runda,"Runda, Westlands",5,5,"5br House, Runda","KSh 550,000/ month"
3 Bed Townhouse with Swimming Pool at Ineza,"Ineza, Runda, Westlands",3,2,"3br Furnished Townhouse, Ineza","KSh 325,000/ month"
4 Bed Townhouse with En Suite at Runda,"Kiambu road, Runda, Westlands",4,4,3&4 bedroom +Dsq villas in Runda kiambu road,"KSh 270,000/ month"
5 Bed Townhouse with En Suite at Thika Road,"Thika road, Thika Road",5,5,4bedroom +Dsq to let,"KSh 130,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 Bedroom townhouse for Rent Lavington,"KSh 450,000/ month"
3 Bed House with En Suite at New Rain Hotel,"Exit 14, New rain hotel, Kenyatta Road",3,4,3BEDROOM BUNGALOW ALL ENSUITE PLUS DSQ,"KSh 70,000/ month"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,Comfy and Stylish Four-Bedroom House for Rent i...,"KSh 450,000/ month"
5 Bed Townhouse with En Suite at Apple Cross,"23, Apple Cross, Lavington",5,5,5 bedroom townhouse for Rent in Lavington,"KSh 350,000/ month"
5 Bed Villa with En Suite at Kiambu Road,"Kiambu road, Kiambu Road",5,3,4&5 bedroom villas +Dsq to let,"KSh 160,000/ month"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,4,5,A LUXURIOUS FOUR BEDROOM VILLA IN A COURT,"KSh 280,000/ month"
4 Bed Townhouse with En Suite in Thigiri,"Thigiri, Westlands",4,5,4 brm with sq,"KSh 520,000/ month"
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,AN EXECUTIVE 5BEDROOM TOWN HOUSE FOR RENT IN LO...,"KSh 1,000,000/ month"
4 Bed House with En Suite in Karen,Karen,4,4,Discover your Dream Home in Karen today.,"KSh 530,000/ month"
6 Bed House with En Suite in Lavington,Lavington,6,6,Spacious Lavington 6 Bedroom Town-House to let...,"KSh 320,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,"Unparalleled Elegance, Privacy, and Comfort Awa...","KSh 550,000/ month"
4 Bed Townhouse with En Suite at Lavington,"7 Lavington, Lavington",4,5,Lavington 4 berdoom townhouse to let,"KSh 350,000/ month"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Live in elegance and tranquility with this mode...,"KSh 500,000/ month"
6 Bed House with En Suite in Loresho,"Loresho, Westlands",6,6,Luxury 6 Bedroom Stand Alone House for Rent in...,"KSh 600,000/ month"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",5,5,"Luxury 5 Bedroom Villas for Rent in Loresho, Na...","KSh 580,000/ month"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,"Newly built, Stunning 4-bedroom home nestled in...","KSh 400,000/ month"
5 Bed House with En Suite in Karen,Karen,5,5,5 bedroom fully Furnished Villa available to le...,"KSh 690,000/ month"
4 Bed Villa with En Suite at Muthaiga North,"muthaiga North, Muthaiga",4,4,Elegant 4-Bedroom Home in a Secure Location – M...,"KSh 230,000/ month"
5 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,Luxurious 5 Bedroom smart Villa,"KSh 647,000/ month"
5 Bed House with En Suite at Muthaiga Road,"34, Muthaiga Road, Muthaiga",5,6,"property offers serenity, privacy and panoramic...","KSh 1,300,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,5 Bedroom Luxurious House,"KSh 1,400,000/ month"
4 Bed Townhouse with En Suite at Kabasiran Avenue,"12, Kabasiran avenue, Lavington",4,5,Specious 4 bedrooms corner maisonnette plus 1 b...,"KSh 135,000/ month"
4 Bed Townhouse in Lavington,Lavington,4,4,Luxurious and Spacious 4-Bedroom Townhouse with...,"KSh 350,000/ month"
4 Bed Townhouse with Staff Quarters at Runda,"Runda, Kiambu Road",4,4,Luxury 4-Bedroom Villa with Private Garden & To...,"KSh 325,000/ month"
4 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",4,5,Discover an exclusive enclave of six townhouses...,"KSh 310,000/ month"
4 Bed Townhouse with En Suite at James Gichuru,"34, James Gichuru, Lavington",4,5,4-bedroom townhouse nestled in the heart of Lav...,"KSh 220,000/ month"
5 Bed Townhouse with En Suite at Lavington Off James Gichuru,"11, Lavington off James Gichuru, Lavington",5,6,5 bedroom townhouse for rent in Lavington,"KSh 350,000/ month"
1 Bed House with En Suite at Karen,"karen, Karen",1,1,Lovely One bedroom cottage,"KSh 100,000/ month"
1 Bed House with En Suite at Fair Acres,"Fair Acres, Karen",1,1,Stunning one bedroom guest wing in fair Acres K...,"KSh 35,000/ month"
4 Bed Townhouse with En Suite at Lavington,Lavington,4,4,Beautiful Four bedroom Townhouse,"KSh 260,000/ month"
4 Bed House with Staff Quarters in Thigiri,"Thigiri ridge Nairobi., Thigiri, Westlands",4,3,A 4bdrm bungalow to let in Thigiri ridge.,"KSh 4,000/ month"
5 Bed Townhouse with En Suite at Off James Gichuru,"61, Off James gichuru, Lavington",5,6,5 bedroom townhouse for rent in Lavington,"KSh 350,000/ month"
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",5,3,Suitable for Commercial Purposes: Five-Bedroom...,"KSh 450,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,House in Runda to let with 5 Bedrooms and Swimm...,"KSh 750,000/ month"
4 Bed Townhouse with En Suite at Karen,Karen,4,4,Beautiful Four bedroom House,"KSh 380,000/ month"
3 Bed House with En Suite at Karen,Karen,3,3,Newly Built Three cottage,"KSh 110,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,A Spacious 4 Bedrooms Townhouse To Let in Kiamb...,"KSh 180,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,4 bedroom plus DSQ,"KSh 645,000/ month"
3 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",3,3,BEAUTIFUL 3 BEDROOM HOUSE TO LET IN WESTLANDS,"KSh 200,000/ month"
4 Bed Villa with En Suite at Lone Tree,"Lone Tree, Rosslyn, Westlands",4,4,Bright & Charming 4-Bedroom Furnished Home with...,"KSh 630,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,5,Exquisite and Exclusive 4 Bedroom Family Home T...,"KSh 650,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5bedroom Viila  to let in Lavington,"KSh 330,000/ month"
5 Bed Villa with En Suite in Loresho,"Loresho, Westlands",5,5,5bedroom modern villas to let in Loresho,"KSh 580,000/ month"
3 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",3,3,Lower kabete 3bedroom villa to let,"KSh 620,000/ month"
3 Bed Villa with En Suite in Runda,"Runda, Westlands",3,3,3 bedroom bungalow for rent in Runda,"KSh 230,000/ month"
5 Bed House with En Suite at Runda,"01, Runda, Westlands",5,5,Luxurious 4 Bedroom Townhouse All En Suite+Dsq...,"KSh 230,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,A 4 bedroom cottage all ensuite to let in Runda...,"KSh 350,000/ month"
3 Bed House with En Suite in Karen,Karen,3,3,A 3 bedroom house plus Dsq to let in karen for...,"KSh 400,000/ month"
4 Bed Townhouse in Westlands Area,"Westlands Area, Westlands",4,2,Fully Furnished 4 Bedroom Town House to let – R...,"KSh 210,000/ month"
